2015-01-13-exp014-clean
t,xPred,yPred,xPrey,yPrey
15.225,1579.8182,99.6092,1066.4473,540.1522
15.2333333333333,1577.3614,100.2601,1063.4611,542.7698
15.2416666666667,1576.9246,100.2894,1061.1547,544.7077
15.25,1576.9539,100.9403,1059.3537,547.1598
15.2583333333333,1573.7151,104.6989,1056.3675,550.2873
15.2666666666667,1569.8598,108.3021,1054.401,552.2296
15.275,1568.1799,110.0407,1052.0946,555.0172
15.2833333333333,1566.1892,111.9297,1051.8231,557.125
15.2916666666667,1566.5293,112.736,1047.133,560.0825
15.3,1562.2078,115.5623,1045.332,561.3406
15.3083333333333,1561.4602,118.8547,1042.5157,562.943
15.3166666666667,1559.9357,119.8164,1041.059,563.8612
15.325,1557.945,121.2442,1040.2777,564.9493
15.3333333333333,1555.7939,124.692,1039.5008,566.8872
15.3416666666667,1553.0263,126.2752,1037.7042,570.3546
15.35,1554.1383,130.1892,1032.8485,573.9963
15.3583333333333,1552.4584,133.637,1030.8776,576.2741
15.3666666666667,1552.3323,138.0171,1029.2466,578.3863
15.375,1550.497,137.886,1025.7505,579.8187
15.3833333333333,1550.0602,141.3338,1023.614,581.7566
15.3916666666667,1546.0495,143.6939,1020.7977,584.7185
15.4,1544.2092,146.6756,1019.1367,587.9329
15.4083333333333,1540.3539,148.725,1015.7628,589.7211
15.4166666666667,1536.9647,152.1728,1013.6238,591.884
15.425,1534.969,153.4452,1012.2496,593.3855
15.4333333333333,1532.041,154.5622,1009.0591,595.5484
15.4416666666667,1529.8899,155.6792,1006.7367,597.6157
15.45,1528.5208,158.5055,1004.4066,599.683
15.4583333333333,1526.064,161.3318,1001.6941,601.5591
15.4666666666667,1524.3841,163.8473,1000.3199,603.0528
15.475,1521.4611,167.7613,997.703,604.841
15.4833333333333,1519.9366,171.9861,995.1817,607.195
15.4916666666667,1516.7028,176.672,992.1824,608.6887
15.5,1515.9552,179.4983,989.6611,611.8075
15.5083333333333,1515.2026,182.9461,988.0001,613.3968
15.5166666666667,1513.5227,185.612,986.4425,614.9861
15.525,1511.0659,188.2829,984.6859,616.7743
15.5333333333333,1509.0752,190.0215,983.5029,618.0768
15.5416666666667,1505.9968,191.2889,979.6432,620.821
15.55,1504.3119,194.2706,976.7395,621.7411
15.5583333333333,1501.0781,198.1846,974.7917,624.1907
15.5666666666667,1497.8443,201.1663,973.7181,625.6564
15.575,1496.4752,203.5264,971.7484,626.8234
15.5833333333333,1493.5522,206.6635,969.7787,629.1854
15.5916666666667,1490.7846,210.8883,967.9584,630.3524
15.6,1489.1047,214.0254,966.7355,632.7144
15.6083333333333,1488.0463,215.759,963.5709,635.5245
15.6166666666667,1488.0706,216.876,961.6012,637.1396
15.625,1484.2153,224.0531,960.5277,638.1573
15.6333333333333,1481.2923,227.0298,958.4086,639.4737
15.6416666666667,1479.6124,230.0065,957.7832,641.6863
15.65,1476.0678,232.3616,955.6641,642.4052
15.6583333333333,1473.7663,233.3233,953.9931,644.1697
15.6666666666667,1474.2618,237.5481,952.1728,645.3367
15.675,1472.2711,241.4621,950.3525,646.9518
15.6833333333333,1469.9696,243.9776,949.8765,647.9695
15.6916666666667,1468.4401,246.6435,946.8612,650.4808
15.7,1466.6048,250.7129,945.6383,652.2453
15.7083333333333,1466.6048,250.7129,943.6686,654.1592
15.7166666666667,1462.7495,256.6469,941.8483,654.5794
15.725,1459.8265,259.784,940.4761,655.8958
15.7333333333333,1457.525,261.678,939.2532,658.2578
15.7416666666667,1455.6897,264.8151,937.5822,659.2755
15.75,1453.3882,268.4183,935.4631,660.4425
15.7583333333333,1449.999,271.7107,934.8377,661.3108
15.7666666666667,1448.1587,272.9831,932.868,662.1791
15.775,1446.6342,275.0274,930.8983,662.7487
15.7833333333333,1444.4881,279.5579,928.3311,663.7664
15.7916666666667,1441.7205,282.8503,927.7057,664.7841
15.8,1440.8175,286.4535,926.3335,665.9511
15.8083333333333,1438.9822,289.7459,926.1562,667.2675
15.8166666666667,1437.1419,292.2614,924.9333,668.4345
15.825,1435.9281,294.9323,922.8142,671.0952
15.8333333333333,1435.0251,299.7786,921.8142,671.52
15.8416666666667,1432.5632,301.9833,919.2362,672.3717
15.85,1431.971,302.9399,917.386,673.0076
