t,xPred,yPred,headPred,xPrey,yPrey
0.002,1.5622416498421,2.52771339653973,-2.2936634812014,8.00769872254188,1.70489212336918
0.004,1.56865448408638,2.51360909618451,-2.29130662360755,8.00200952478753,1.70146847736899
0.006,1.57504520669621,2.4888341923856,-2.28898997621043,7.99632834960741,1.69805011899825
0.008,1.58131612633027,2.45629897260097,-2.28678338265962,7.99067504485977,1.69464900586326
0.01,1.58723073185626,2.43598656690689,-2.28475257658909,7.98507263561509,1.69126627440171
0.012,1.59264321375055,2.43507237300145,-2.28296081966393,7.97954304565103,1.68788788871748
0.014,1.59829600839777,2.44185918689013,-2.28146564207275,7.97410289529531,1.68449637487481
0.016,1.60484217348391,2.43752937298449,-2.28029138693233,7.9687611424738,1.68107199936061
0.018,1.61243043190673,2.42663097257335,-2.27944494714731,7.96352316472876,1.67759586552909
0.02,1.62078728151888,2.41817020165713,-2.27893840499013,7.95839099069288,1.67405030547717
0.022,1.62973455101898,2.40591927507589,-2.27875876263093,7.95336030088017,1.67042971342786
0.024,1.63844977543056,2.38747779374302,-2.27887496178949,7.94842308962722,1.66674515784558
0.026,1.64544302653372,2.37530403788858,-2.27923560224033,7.94356507532275,1.66301759196251
0.028,1.64948632972938,2.36843991285724,-2.279772140455,7.93876725902813,1.65927454568707
0.03,1.64957354723538,2.35787422565123,-2.28042608330173,7.93400889228019,1.6555454834972
0.032,1.64535241703682,2.34455849816262,-2.28116111864175,7.92926988065026,1.65185655050727
0.034,1.6373526063599,2.33895562964781,-2.28196120578822,7.92453383955581,1.64822844655463
0.036,1.62676039245128,2.34339932186247,-2.28281437458716,7.91978738098685,1.64467308767363
0.038,1.61501171111656,2.35657335596574,-2.28373915160356,7.91502156000536,1.64119424687915
0.04,1.60360158162367,2.37333359598629,-2.28478282019019,7.91023406683315,1.63778677210456
0.042,1.59341167023538,2.38875287460995,-2.28597043887519,7.90542843053992,1.63443166362701
0.044,1.58464848713202,2.40114366135168,-2.28733000545368,7.9006107234943,1.6310928235169
0.046,1.57763633934072,2.39939227521768,-2.28885220983414,7.89578321605123,1.62772755037213
0.048,1.57213054273866,2.3893437311089,-2.29052014011509,7.89094362240469,1.62429556944405
0.05,1.56740810478539,2.3758909622109,-2.29231007689814,7.88608930036699,1.62076611394925
0.052,1.5632822512894,2.35261206725554,-2.29419606835511,7.88122280944153,1.61712535306612
0.054,1.55947439506447,2.33186445105965,-2.2961399708642,7.87635407129934,1.61338143576429
0.056,1.55626642980216,2.32525657351879,-2.29809596575063,7.8714922039777,1.60955942968817
0.058,1.55404357286991,2.3374510434052,-2.30002532646513,7.86664483306855,1.60569176359553
0.06,1.55385282090688,2.35985228813069,-2.30188730078532,7.8618165232305,1.60181210540872
0.062,1.55656909990793,2.37753952646656,-2.3036408184199,7.85700504176486,1.59794787364267
0.064,1.56239097611981,2.37940858837319,-2.30525002457341,7.85219996593826,1.59411619124662
0.066,1.5707545900557,2.36842806058663,-2.30668733600724,7.84738759824139,1.59032673112879
0.068,1.58064003878299,2.36448230935888,-2.30793410145234,7.84255369312304,1.58657476013805
0.07,1.59162354508817,2.37065479019031,-2.30897914722595,7.83768744639273,1.58284630991397
0.072,1.60283536700016,2.37361442164176,-2.30982167644381,7.83278680905487,1.57912674765211
0.074,1.61270115478784,2.36954725582468,-2.31048124450381,7.82786093128813,1.57540410686734
0.076,1.61996807837082,2.34932106851092,-2.31097027483798,7.82292454048123,1.57166177366348
0.078,1.62292860220391,2.32248257186233,-2.3112948999138,7.81799924759109,1.56788823620539
0.08,1.6207965427516,2.30877121851476,-2.31145969465597,7.81311475115576,1.56408134759741
0.082,1.61353612643732,2.31075596326971,-2.3114731991287,7.80829733362878,1.56024266355456
0.084,1.60191824449408,2.3218235175929,-2.31134893245577,7.80356698244497,1.55638551599965
0.086,1.58703506663874,2.32634756824652,-2.31110491934767,7.79893497283506,1.55253150113294
0.088,1.56939868019032,2.33195303126667,-2.31075706052825,7.79440121878237,1.54870414594134
0.09,1.55028262583628,2.34155845553547,-2.31030952588918,7.78995702845533,1.54492680003471
0.092,1.5315861273152,2.34298502911909,-2.30974974850566,7.78558838123165,1.541221095142
0.094,1.51460575490596,2.33718284793348,-2.30904726127244,7.78127585655787,1.53760279977592
0.096,1.49977744976475,2.32371688684089,-2.30818159936364,7.77699201322886,1.53407549738629
0.098,1.48664402653291,2.30442763030213,-2.30713989912396,7.77270038227557,1.53062577511669
0.1,1.4745247655491,2.29800132422356,-2.30589276367611,7.76836317803914,1.52722781583425
0.102,1.46377019046324,2.30718826301265,-2.30442010227245,7.76394517593802,1.52384784098215
0.104,1.45484257936746,2.32139798033486,-2.30271773406396,7.75941749478005,1.52044952835701
0.106,1.44779198166299,2.33227355225101,-2.3008022295839,7.75476212323076,1.51699994198692
0.108,1.44241260530838,2.32922407081426,-2.29871497216275,7.74997380445506,1.51347236000554
0.11,1.43838186961271,2.3148176586135,-2.29652942991103,7.74505288344842,1.5098391150552
0.112,1.43527569632925,2.29209661350355,-2.29434393642546,7.74000315296254,1.50607139387844
0.114,1.4326313011865,2.27670455608914,-2.29222961867308,7.73483416025145,1.50214181838487
0.116,1.43013349637148,2.27300647383318,-2.29022771396108,7.72956254895051,1.49803006011044
0.118,1.42766420992434,2.27548876762528,-2.28835998663885,7.72420356044333,1.49372734418379
0.12,1.42515803755027,2.29012173192726,-2.28663311040553,7.71877277932672,1.48923966221285
0.122,1.4227458498131,2.31404566131241,-2.28504886419669,7.71329075042412,1.48459015423231
0.124,1.42058599695755,2.33328581837223,-2.28361155789845,7.70778528142794,1.47982117462106
0.126,1.41877870126491,2.33879944966966,-2.28232795261122,7.70228408244037,1.47498280515998
0.128,1.41737429238607,2.32650635695806,-2.28120684289886,7.69681258771861,1.47012485856486
0.13,1.41639020665259,2.30182288637003,-2.28025323270155,7.69139314765766,1.46529249993496
0.132,1.4158122140021,2.27908517889741,-2.27946870515222,7.68604316960632,1.46052174060721
0.134,1.41555567183055,2.26304128983581,-2.2788533486021,7.68077283942938,1.4558349791293
0.136,1.41547112021505,2.25341777620385,-2.27842112527784,7.67558245864854,1.45123643793675
0.138,1.41539500955046,2.25246929780955,-2.27819548143639,7.67046199502828,1.446710494595
0.14,1.41518680810824,2.26512910820362,-2.27818448928711,7.66539859586023,1.44223284507287
0.142,1.41485011252629,2.28358017122937,-2.27837683427752,7.66038377619602,1.43778326065749
0.144,1.41459469456922,2.28784643358707,-2.27874598947199,7.65541628246367,1.4333535321153
0.146,1.41461102958922,2.27405557860446,-2.27925237613503,7.65049686302842,1.4289483988937
0.148,1.41496425724773,2.25120548667682,-2.27985094577697,7.64562890286231,1.42457856831365
0.15,1.41562997553807,2.23600228856179,-2.28050676454216,7.64081814986729,1.42025931648647
0.152,1.41668321317067,2.23061849753192,-2.28119236105458,7.63607077397678,1.41601094501315
0.154,1.41828000350958,2.22416983120187,-2.28189037477461,7.63139132802838,1.41185608475061
0.156,1.42040684608916,2.21022304601119,-2.28260285965619,7.62677980591862,1.40781296228038
0.158,1.42284160454596,2.19946731248964,-2.28335103611894,7.62222812110703,1.40388664787302
0.16,1.42541014907551,2.19956669775869,-2.2841437362681,7.61772015559961,1.40006641481944
0.162,1.42834816647169,2.20932803851714,-2.28496926990989,7.61324116803272,1.39633950765015
0.164,1.43186793895105,2.23312200589402,-2.28579361071033,7.60877848004032,1.39269821993273
0.166,1.43653882389651,2.26139075325767,-2.28656737083319,7.60432941703935,1.38913480047744
0.168,1.44285653524271,2.27150052804731,-2.28724329175569,7.5999035049169,1.38564460507138
0.17,1.45082569705286,2.2546927237276,-2.28781291959475,7.5955161086536,1.38222721333075
0.172,1.45970786325933,2.21674630822203,-2.28830766379339,7.59118380565251,1.3788821540963
0.174,1.46827183252702,2.17878505234729,-2.28873458557913,7.5869202540747,1.37560830584806
0.176,1.47549275720448,2.14911438699408,-2.28906278716127,7.58273314942367,1.37240358508503
0.178,1.48070115250854,2.12530234427922,-2.28924550521276,7.57862183928071,1.369264082831
0.18,1.48352773165594,2.10449333756957,-2.28926559248478,7.5745833197092,1.36618119790557
