start stimulus,start tracking,start escape,,
13,647,648,,
,,,,
time,xMouth,yMouth,xCOM,yCOM
1.294,24.7408756286349,-3.8657618169742,20.1618503616796,-4.57947555953729
1.296,24.649916527059,-3.95672091855006,20.1618503616796,-4.57947555953729
1.298,24.6953960778469,-3.7293231646104,20.1618503616796,-4.57947555953729
1.3,24.7408756286349,-3.77480271539834,20.1618503616796,-4.57947555953729
1.302,24.6953960778469,-3.95672091855006,20.1618503616796,-4.49842289476671
1.304,24.6953960778469,-4.04768002012593,20.1618503616796,-4.49842289476671
1.306,24.7863551794228,-3.95672091855006,20.1618503616796,-4.49842289476671
1.308,24.6953960778469,-3.95672091855006,20.1618503616796,-4.45789656238143
1.31,24.6953960778469,-4.002200469338,20.1618503616796,-4.45789656238143
1.312,24.649916527059,-4.04768002012593,20.1618503616796,-4.45789656238143
1.314,24.6953960778469,-4.27507777406559,20.0402713645238,-4.37684389761086
1.316,24.6953960778469,-4.18411867248972,20.0402713645238,-4.37684389761086
1.318,24.7863551794228,-4.18411867248972,20.0402713645238,-4.37684389761086
1.32,24.7863551794228,-4.22959822327765,20.0402713645238,-4.37684389761086
1.322,24.7863551794228,-4.36603687564145,20.0402713645238,-4.37684389761086
1.324,24.7863551794228,-4.32055732485352,20.0402713645238,-4.37684389761086
1.326,24.8318347302107,-4.50247552800524,19.9186923673679,-4.29579123284029
1.328,24.8318347302107,-4.50247552800524,19.9186923673679,-4.29579123284029
1.33,24.8318347302107,-4.63891418036904,19.9186923673679,-4.29579123284029
1.332,24.7863551794228,-4.63891418036904,19.9186923673679,-4.29579123284029
1.334,24.7863551794228,-4.7298732819449,19.9186923673679,-4.29579123284029
1.336,24.7863551794228,-4.77535283273284,19.8781660349826,-4.255264900455
1.338,24.7863551794228,-4.77535283273284,19.8781660349826,-4.255264900455
1.34,24.7863551794228,-4.77535283273284,19.8781660349826,-4.255264900455
1.342,24.7863551794228,-4.82083238352077,19.8781660349826,-4.255264900455
1.344,24.7863551794228,-4.8663119343087,19.8781660349826,-4.255264900455
1.346,24.7863551794228,-4.95727103588456,19.8781660349826,-4.255264900455
